,Package name,Reviewer name,Review,Rating
0,com.whatsapp,Karen B,I d give two star could reach someone resolve issue whenever attempt attach photosvideo gallery will not allow select course also select gallery three button right regardless can not select send frustrating use work use able caption pic attach write caption send another app,2
1,com.whatsapp,Hilmy B,good late update do not allow select multiple picture send send one time also require multiple step get album able share pic go multiple step get gallery be not intuitive year use select one pic time,1
2,com.whatsapp,RAF Strayhorn,good app job change one phone another total nightmare nobody seem able explain web instruction confuse wrong independent website confuse wrong want transfer everything include chat old phone number new phone number feel like would easier build fast light spaceship also feel like lot hard absolutely,3
3,com.whatsapp,Rick C,use whatsapp main chromebook flawlessly year issue week ago start crash ninety second video chat would start would inevitably crash would say ten conversation nine would crash one onetwo two minute ponderous frustrating switch whatsapp app another chromebook issue clear storage reinstalled switch another app actually work,2
4,com.whatsapp,alyssa vair,edit include can not get notification message literally pop say popup notification long available version android really go app app need update keep new phone galaxy stwenty - two use great app suddenly can not watch send video customer service suck I ve cecke setting seem fine,2
5,com.whatsapp,Blaine C,can not give app three definitely mean transitory experience keep thing long term export import chat history restore local database do not work way keep message somehow end multiple phone say use new number without merge account immediately sad situation ppl like memory would recommend telegram message app,3
6,com.whatsapp,Matt D,dog water app frustrating ui can not properly sync contact phone contact list can not verify account via emailphone inconvenient picture must download phone take internal space can not log multiple device advertise call unreliable wifi datum hey meta sure expect quality product,1
7,com.whatsapp,Sophia de Gastelum,whatsapp amazing since begin use two thousand nineteen I ve never issue ituntil last night long send receive message go help troubleshoot I ve do suggestion still can not send receive message I ve check update well app date different suggestion fix issue thank,5
8,com.whatsapp,jordan morris,issue call feature every time I m call screen need app need open microphone will not work hear person I m talk sometimes can not hear multitaskopen another app put phone screen sleep cut issue since beginning year idk could issue big issue call alot,1
9,com.whatsapp,Gil Cohen,use great anymore whatsapp recognize phone medium late android upgrade create major inconvenience come send file addition phone call disconnect minute blame phone microphone top customer support worst see long time slow useless big disappointment,1
10,com.whatsapp,Edward Hammock,image attachment stop work long type message insert image two separate message also open different gallery view normal one meaning see image already what s app I ve try uninstalling reinstall still work please resolve asap,1
11,com.whatsapp,Yiliu Siow,couple issue one select photo send long show phone gallery folder default inconvenient access three dot top left hand corner two unable select multiple photo send extremely inconvenient please look fix thank,2
12,com.whatsapp,Elnaz Moein,since last update app do not allow send multiple picture send one one frustrating top long access camera gallery go multiple stupid annoying step try find picture camera send one one app change bad useless garbage disappointing,1
13,com.whatsapp,Humarno Schoonwinkel,since last update chat do not organize accord date message one delete sone message chat date last message get organize since update message organize since last time there s communication individual even delete unimportant message chat do not get reorganize please fix previous way help lot least give we option choose thank listen,3
14,com.whatsapp,Diederick Muller,love app reliable opinion good quality do not know I d without wish would feature status view make different group people view status also see view status read receipt however dislike fact can not screenshot one view photo anymore,3
15,com.whatsapp,Bilal Khan,hi head whatsapp high easy mean communication whatsapp people world close sometimes problem problem speak language one country different another country do not understand language easily many country language strange china japan indonesia etc sir suggest use language voice translator call translator,4
16,com.whatsapp,Ben,someone already mention late update mess around gallery whilst send photo yes click three dot top right find main selection photo can not select one time make timely process seriously need go back please fix,1
17,com.whatsapp,Robin Deacon,something go wrong last update attach photo camera album long accessible album show image whatsapp chat visible basically pointless workaround click three dot select gallery choose camera workaround let select one image time though video file show either complete pain whatsapp devs ease unbreak feature,2
18,com.whatsapp,Malaz YI,xiaomi mi athree app two major problem one voice note get send empty random amount time force stop app restarting usually solve super annoying talk minute boom voice memo silent two scrolling chat chat glitch split second scoll way higher you d expect like want see message yesterday suddenly I m message three day ago,1
