,Package name,Reviewer name,Review,Rating
0,com.calea.echo,Shaunna 7,"love app easy use personalize complaint since upgrade phone personalize notification tone user work mood screen time text come edit one hundred two thousand , five hundred twenty - twonew update totally screw app do not allow option monitor phone call can not use texting option look new app",4
1,com.calea.echo,Tiffany Strodthoff,march two thousand twenty love quite past four month go hill despite update attempt diagnose issue help page do not exist anymore still do not work want try fix problem look like ill find new app update seventy - two thousand twenty - one continue get bad will not send text still receive can not run diagnostic one hundred two thousand twenty - two bad yet can not see anything chat list manually look contact read msg,1
2,com.calea.echo,Keith 『Talos』,sm app year buy even recommend other unfortunately can not recent update reduce quality app sluggish try show ad pay will not directly send pic camera will not even open unacceptable,1
3,com.calea.echo,Autumn S,use mood year several different device I ve never minded advertising recent update make advertisement huge massively lag halfway unusable even consider get lifetime premium thinking without ad maybe would work well literally can not even get purchase premium page without error able buy find new text app,2
4,com.calea.echo,Whitney Turpin,mood couple year premium service update app three hundred twenty - two kicked premium service can not get back say problem end every time try you re update today ad page absolutely hate pay premium service begin problem end need remove ad fix thing,1
5,com.calea.echo,Wesley Cook (Caerdivon),every update there s something different complain previous update issue double notification force overlay able fix obscure set recent update app lag hard open minute require restart app text message able comfortably send without application lag behind button press twelve second use great app happen,1
6,com.calea.echo,Jessica Gillette,use app year couple month ago become glitchy slow force get new message app guy something great ruin bunch massive ad slow app glitch bad will not learn mistake will not buy anything still will not work,1
7,com.calea.echo,Annette Groseclose,love use app year however recent update become terrible nuance allow turn bubble popup feature freeze lock constantly super slow finally get rid wish would left alone new update ruin app,1
8,com.calea.echo,Aaron White (Aaron),"like customizability unable upgrade premium need premium version use huawei gttwo pro watch ergo use message app work watch watch less useful app extremely frustrated spend forty - five min try figure give company one thousand , four hundred ninety - nine could issue normal android phone highly doubt need send watch back thank lot",2
9,com.calea.echo,Eric Mcdow,use long time refer many associate last update absolutely horrible sluggish freezing completely responsive addition pay premium service take away last update use love mood point disappointed hate last update overlay call text go back original mood use five year ago leave well enough alone please,2
10,com.calea.echo,Lavelle Hall,one recent update text take way long go send nonnegotiable two still lot block emojis threenow apps notification be not show watch new text come feature essential part smart watch able receive notification watch make app rate negative one,1
11,com.calea.echo,Serg Eguiarte,update mood customer service fantastic responding find issue setting app thank app do not notify incoming message sound alert go fix I ve try everything pay version,5
12,com.calea.echo,Christina Goodnight,use app long time premium user can not use app anymore excruciate slow laggy pull message slide contact can not even type message without behind slow freeze will not use app fix back use work,1
13,com.calea.echo,Hillary Brown,use good message app ever hand even buy premium still think could well keep run problem like two separate pop notification way pick one could probably resolve easily enough except notify support app fail go every time,1
14,com.calea.echo,Dean C,love product year actually pay user interface private box good last two phone transfer app excruciating send receive mms photo message I ve try multiple texting app issue subject one mood seem able correct first time ten year I m change app,2
15,com.calea.echo,Kayla,last mood update terrible message slow respond slow receive close app constantly order send message please provide fix get annoying frustrating take minute text message another send sometimes also open app receive message,1
16,com.calea.echo,Ken B,everyone else say mood excellent year three recent update juneaugust two thousand twenty - two can not remove bubble get multiple notification single text stall notification normally appear app alert new message message count disappear definitely time find another app can not get fix,1
17,com.calea.echo,Blondie33 Delong,since recent update app super laggy unstable can not even write text time without completely close app restart message get delete send use mood many year absolutely love never issue go switch different messaging app please listen costumer review fix problem,1
18,com.calea.echo,Mike Savenelli,remove due recent update new call monitor feature call call take phone app add nothing useful can not fully disable also add ad phone call can not use sm app without feature deny app access phone call I m disappointed since always excellent sm app new feature unnecessary unwanted,1
19,com.calea.echo,KS W,use mood year quirk let go download today unfortunately none send type text appear response text try mood setting phone setting change uninstalle reinstalled change still time favorite except non functional bug fix definitely reinstall,1
20,com.calea.echo,Kelsey Isenberg,app year never problem become slow can not even text anyone without wait mood catch go back several time correct actually pick text miss every word get frustrate may find another option,3
21,com.calea.echo,ShayComposed “Shay”,love skeptical download first go option customization I ve find way well default app come phone matter phone july seven two thousand twenty - two update issue I ve find recently app glitche immediately update app per usual text get wipe great thing sync backuprestore feature process thing experience kind querky,5
22,com.calea.echo,Donna Fick,year become annoy increasingly difficult use truly do not need phone use phone link everything universe do not want give permission do not want app tell need intrusive serve betterevery time make receive call do not understand tell call start even receive call I m tired swipe multiple place get rid notification receive,4
23,com.calea.echo,A Google user,rarely send review anything say something I ve app little year like could customize fun there s ad nobody want see ad texte app something deal ad internet fine game fine texting app really do not help that s place top disappointed currently look different app,1
24,com.calea.echo,A Google user,app use fantastic lot great feature user enjoy especially theme however past app suck every update that s make every time send text get error say fail send even actually send there s way know actually send unless call person attempt text see receive also take forever download photo like hour,1
25,com.calea.echo,A Google user,I ve use mood enjoy feature time recent update I ve switch different sm app like other I m okay new ad place top message list expect ad since do not premium ad badly place load delay often result tap ad instead top conversation top message do not seem send reliably update wait cursor spin minute time,3
26,com.calea.echo,A Google user,publisher help love app replace phone original sm however unfortunately give three star time often text message do not come I ve click open app do not app hibernate much background sometimes alert without open app sometimes do not frankly quite inconvenience people try get ahold,3
27,com.calea.echo,A Google user,I ve try every message app be not satisfied one reason another always feature miss app comprehensive every feature want even do not know exist setting lay be not tech savvy still figure want tech savvy offer advanced set menu love group text versatility,5
28,com.calea.echo,A Google user,noticed issue otherwise great app whenever go send multimedia message typically photo app disconnect wifieven home networkand send cellular datum instead do not select can not figure deselect can not get fix ill discontinuing use app do not unlimited datum current plan do not plan get would rate five start aforementione issue,3
29,com.calea.echo,A Google user,perhaps app do not work well galaxy app froze constantly cause phone lock least day like graphic feature however send group message hassle app would freeze new message would come either shut phone delete group chat contact company twice explain issue seek solution respond message uninstalle reinstalled avail,1
30,com.calea.echo,A Google user,overall like app occasionally receive message day originally send that s beyond annoying problematic update month later I m still problem go assistance do not show warn button far know be not infer app i d update premium thought would solve problem love app truly do not want change something different help would appreciated,4
31,com.calea.echo,A Google user,work great sometimes ad great lot customization also great like design layout however sometimes long delay send message I m often receive message unless actually app open yes checked setting app that s glitchy work great lag often move different app,3
32,com.calea.echo,Nick Pizarro,use mood year eventually buy full version however mood seem worst buy reply group message response send individual text recipient group setting set additionally app seem considerably slow attach photo gallery text do not work show gray box photo preview app update thing be not fix ill leaving,1
33,com.calea.echo,A Google user,new phone would not group messaging wo send individual text person group do not want neither phone carrier phone co could figure download app work great would give five star do not seem send pdf attachment ask help another issue support get response texte group texte send picture great job,3
34,com.calea.echo,A Google user,like many feature I m problem I ve send several message support have not even get response acknowlegement send use voice text feature prefer use time stop talk message duplicate least result go back edit message send look like idiot send verbiage repeat several time message time replace,1
35,com.calea.echo,Brad Sharp,far good feature sm app available however I m horrible problem receive message android ten eleven lg google phone delivery often delay unlock phone defeat purpose instant messaging also chat head feature work ten time I ve work solve problem six month multiple device setting could affect delivery address mood do not appear much way help five star critical issue address two,2
36,com.calea.echo,A Google user,use love app far good sm app recent update cause app go ad negative say would always free could live since rest app perform well slow freezing send notification smse receive sometimes can not click contact read message get to crash app let restart thing function fix,2
37,com.calea.echo,"Dr. Karen Clark Scott, PT",use app year love love background theme since update nothing work right I ve notice I m get message real time come much later sometimes open app check get call nothing text app there s blank text screen page huge ad bottom I m look new app one long suit style,1
38,com.calea.echo,A Google user,I ve use app year love customization option ease use support lacking I ve probably send ten support message year may hear back past month float notification stop work message often fail take five minute send hate leave need something reliable,2
39,com.calea.echo,A Google user,interesting feature pay full version use couple week automate limitation example picture send link big also many feature be not relevant professional user noisy clutter ui wish could get money back mother feedback also web browser base texte hopeful hope go,2
40,com.calea.echo,A Google user,pain leave review long time user recently app become unusable could handle introduction ad soon multimedia text would send be not receive text would open app update mood would sneakily send link recipient download app anytime send text could not even see end since fix issue persist want badly app work,1
41,com.calea.echo,A Google user,well I ve app couple year love texting update make phone call weird call get weird screen update ad top message screen start get annoying constantly see ad screen see anad every time someone call,3
42,com.calea.echo,A Google user,app update morning have not able send text message since look like send nobody receive still receive message can not send even try reboot phone please fix soon update thank fix app favorite app group texting change mms sm easily also add delete people conversation without create new message thread,5
43,com.calea.echo,Justin Luttrell,use really good lately I ve notice incoming message get delay ill open app see like three different message different people pop less ten second they d stick also whatever update prior june 2three two thousand twenty - one every time get incoming message I ve notice phone wifi disconnect second see message every time really annoying I ve email support team well see actually respond,3
44,com.calea.echo,A Google user,love sms application ton feature customization also do not seem take lot ram battery fine huawei mate ten pro big battery anyway experience problem open message application time close open do not awhile still annoying whole message be not save please fix I m eighty,4
45,com.calea.echo,Carrie R,beyond frustrated app I ve use year occasional glitch pretty reliable lately get lead notification phone stay mute that s way know text seem general notification issue review huge issue please fix need know message,1
46,com.calea.echo,A Google user,horrid since update yesterday get pop telling need update app I ve use year issue since update message send get deliver recipient show end send never get suddenly message go never type unfortunately uninstall go back stock messaging since one be not issue,1
47,com.calea.echo,Angelica Nagy,use mood year never problem recently easy use medium option great except can not seem send picture app uninstalle reinstalled reset phone go system setting everything think still can not send picture since something tend lot frustrating I m seriously consider use another app,2
48,com.calea.echo,A Google user,many customization option even free app crazy fun chat option help app give make sure sm mms setting correct help be not work free version ad seem infrequent cover half screen usually hit back button go away suggestion would somewhere get little tidbit information certain symbol mean,4
49,com.calea.echo,A Google user,update still like app one good app however still blind flaw receive multiple picture come blurry like receive one also contact private box remain hidden texting notification pop like anyone else even private setting place update almost every message get flag fail message send thing be not get well,2
50,com.calea.echo,A Google user,app phenomenal customization great edit almost anything want term speech bubble background theme etc recent problem text message come hour send time sensitive due job I ve switch back regular keyboard absolutely happen see other problem hope fix soon,2
51,com.calea.echo,A Google user,perfect app however update push today add gaudy inyourface lime green banner top advertising purpose tap restart entire app be not way turn text banner say specifically new feature specific app sit frustrating placeholder reason be not chief guess back textra,2
52,com.calea.echo,Sonfa Lovings,use love app recent update I ve nothing problem app long sound sm notification go setting ensure set correctly still can not receive sound notification real pain constantly look phone see text message revert back original messaging app one become useless,1
53,com.calea.echo,Danaii Davin,I ve stick message app two year finally uninstalle day ago increasingly go slightly glitchy technical instability time big pro app clever aesthetic design look replacement underwhelming platform hardpresse find anything equal customizationoption pro last long you re miss good chunk personal message,1
54,com.calea.echo,A Google user,notification sound go use love app due fact black theme easy eye flawless come search message theme everything display suddenly can not get sound receive message infuriate I m one read problem period fix soon ill get another apo,1
55,com.calea.echo,A Google user,I ve always relatively happy app use couple year late much picture send show last one send even click upon long get popup head notification despite enable I m fan random color change contact bubble either,2
